anourvalar/eloquent-serialize               1.3.1    Laravel Query Builder ...
bacon/bacon-qr-code                         3.0.1    BaconQrCode is a QR co...
barryvdh/laravel-debugbar                   3.15.4   PHP Debugbar integrati...
barryvdh/laravel-ide-helper                 3.5.5    Laravel IDE Helper, ge...
barryvdh/reflection-docblock                2.3.1   
blade-ui-kit/blade-heroicons                2.6.0    A package to easily ma...
blade-ui-kit/blade-icons                    1.8.0    A package to easily ma...
brick/math                                  0.12.3   Arbitrary-precision ar...
carbonphp/carbon-doctrine-types             3.2.0    Types to use Carbon in...
composer/class-map-generator                1.6.1    Utilities to scan PHP ...
composer/pcre                               3.3.2    PCRE wrapping library ...
danharrin/date-format-converter             0.3.1    Convert token-based da...
danharrin/livewire-rate-limiting            2.1.0    Apply rate limiters to...
dasprid/enum                                1.0.6    PHP 7.1 enum implement...
dflydev/dot-access-data                     3.0.3    Given a deep data stru...
doctrine/dbal                               4.2.3    Powerful PHP database ...
doctrine/deprecations                       1.1.5    A small layer on top o...
doctrine/inflector                          2.0.10   PHP Doctrine Inflector...
doctrine/lexer                              3.0.1    PHP Doctrine Lexer par...
dragonmantank/cron-expression               3.4.0    CRON for PHP: Calculat...
driftingly/rector-laravel                   2.0.4    Rector upgrades rules ...
egulias/email-validator                     4.0.4    A library for validati...
fakerphp/faker                              1.24.1   Faker is a PHP library...
filament/actions                            3.3.14   Easily add beautiful a...
filament/filament                           3.3.14   A collection of full-s...
filament/forms                              3.3.14   Easily add beautiful f...
filament/infolists                          3.3.14   Easily add beautiful r...
filament/notifications                      3.3.14   Easily add beautiful n...
filament/support                            3.3.14   Core helper methods an...
filament/tables                             3.3.14   Easily add beautiful t...
filament/widgets                            3.3.14   Easily add beautiful d...
filp/whoops                                 2.18.0   php error handling for...
firebase/php-jwt                            6.11.1   A simple library to en...
fruitcake/php-cors                          1.3.0    Cross-origin resource ...
google/apiclient                            2.18.3   Client library for Goo...
google/apiclient-services                   0.396.0  Client library for Goo...
google/auth                                 1.47.0   Google Auth Library fo...
graham-campbell/result-type                 1.1.3    An Implementation Of T...
guzzlehttp/guzzle                           7.9.3    Guzzle is a PHP HTTP c...
guzzlehttp/promises                         2.2.0    Guzzle promises library
guzzlehttp/psr7                             2.7.1    PSR-7 message implemen...
guzzlehttp/uri-template                     1.0.4    A polyfill class for u...
hamcrest/hamcrest-php                       2.1.1    This is the PHP port o...
iamcal/sql-parser                           0.6      MySQL schema parser
kirschbaum-development/eloquent-power-joins 4.2.3    The Laravel magic appl...
larastan/larastan                           3.4.0    Larastan - Discover bu...
laravel/breeze                              2.3.6    Minimal Laravel authen...
laravel/fortify                             1.25.4   Backend controllers an...
laravel/framework                           12.12.0  The Laravel Framework.
laravel/jetstream                           5.3.6    Tailwind scaffolding f...
laravel/pail                                1.2.2    Easily delve into your...
laravel/pint                                1.22.0   An opinionated code fo...
laravel/prompts                             0.3.5    Add beautiful and user...
laravel/sail                                1.42.0   Docker files for runni...
laravel/sanctum                             4.1.1    Laravel Sanctum provid...
laravel/serializable-closure                2.0.4    Laravel Serializable C...
laravel/tinker                              2.10.1   Powerful REPL for the ...
league/commonmark                           2.7.0    Highly-extensible PHP ...
league/config                               1.2.0    Define configuration a...
league/csv                                  9.23.0   CSV data manipulation ...
league/flysystem                            3.29.1   File storage abstracti...
